timestamp,temperature,humidity,smoke,ir_temperature,fire_danger_index,data_type
2025-04-25 04:31:46,31.708717346191406,78.59080505371094,1785.98095703125,33.5931282043457,23.01119613647461,predicted
2025-04-25 04:32:46,31.707691192626953,78.49251556396484,1785.9410400390625,33.58534622192383,23.03881072998047,predicted
2025-04-25 04:33:46,31.70145606994629,78.39897155761719,1786.0587158203125,33.57804870605469,23.063568115234375,predicted
2025-04-25 04:34:46,31.6917667388916,78.3104248046875,1786.2655029296875,33.57129669189453,23.08591651916504,predicted
2025-04-25 04:35:46,31.68016815185547,78.2269287109375,1786.5091552734375,33.56511688232422,23.106298446655273,predicted
2025-04-25 04:36:46,31.66796112060547,78.14844512939453,1786.7530517578125,33.55950164794922,23.125106811523438,predicted
2025-04-25 04:37:46,31.655858993530273,78.07481384277344,1786.974609375,33.55443572998047,23.142597198486328,predicted
2025-04-25 04:38:46,31.644758224487305,78.00588989257812,1787.1617431640625,33.54989242553711,23.15907096862793,predicted
2025-04-25 04:39:46,31.635347366333008,77.94145202636719,1787.31005859375,33.545833587646484,23.1747989654541,predicted
2025-04-25 04:40:46,31.627840042114258,77.88127899169922,1787.420654296875,33.54222106933594,23.189899444580078,predicted
2025-04-25 04:41:46,31.622283935546875,77.82520294189453,1787.497802734375,33.53901672363281,23.204429626464844,predicted
2025-04-25 04:42:46,31.61859703063965,77.77574920654297,1787.546875,33.53617858886719,23.217599868774414,predicted
2025-04-25 04:43:46,31.616579055786133,77.72987365722656,1787.57421875,33.53367614746094,23.230262756347656,predicted
2025-04-25 04:44:46,31.615976333618164,77.68738555908203,1787.585205078125,33.53146743774414,23.242387771606445,predicted
2025-04-25 04:45:46,31.616483688354492,77.6487808227539,1787.5850830078125,33.52952194213867,23.253732681274414,predicted
2025-04-25 04:46:46,31.61780548095703,77.61503601074219,1787.57763671875,33.52781295776367,23.2639102935791,predicted
2025-04-25 04:47:46,31.619659423828125,77.58405303955078,1787.5662841796875,33.52631759643555,23.27345848083496,predicted
